,standard,Roll
codehaus-parent,,
codemodel,,
codenarc,,
coffee-script,,
cogl,,
colm,,
colord,,
colord-gtk,,
compiler-rt,,
compress-lzf,,
comps-extras,,
conmon,,
conntrack-tools,,
console-setup,,
console_bridge,,
container-exception-logger,,
container-selinux,,
containernetworking-plugins,,
convmv,,
copy-jdk-configs,,
coredns,,
coreutils,,
coro-mock,,
courier-unicode,,
cpio,,
cpp-httplib,,
cppcheck,,
cpptasks,,
cppunit,,
cracklib,,
crash,,
crash-gcore-command,,
crash-trace-command,,
createrepo_c,,
cronie,,
crontabs,,
cryptacular,,
crypto-policies,,
cryptsetup,,
cscope,,
ctags,,
culmus-fonts,,
cups,,
cups-filters,,
cups-pk-helper,,
curl,,
curvesapi,,
custodia,,
custom_build_tool,,
cvs,,
cxf-build-utils,,
cxf-xjc-utils,,
cyrus-sasl,,
dain-snappy,,
datanucleus-api-jdo,,
datanucleus-core,,
datanucleus-maven-parent,,
datanucleus-rdbms,,
dav1d,,
dblatex,,
dbus,,
dbus-broker,,
dbus-cpp,,
dbus-glib,,
dbus-python,,
dbxtool,,
dconf,,
dcraw,,
debootstrap,,
debugedit,,
decentxml,,
dejagnu,,
dejavu-fonts,,
deltarpm,,
delve,,
derby,,
desktop-file-utils,,
devhelp,,
dhcp,,
dialog,,
dietlibc,,
diffstat,,
diffutils,,
digest-list-tools,,
ding-libs,,
discount,,
disruptor,,
djvulibre,,
dkms,,
dleyna-connector-dbus,,
dleyna-core,,
dleyna-server,,
dmraid,,
dnf,,
dnf-plugins-core,,
dnsjava,,
dnsmasq,,
dnssec-trigger,,
docbook-dtds,,
docbook-style-dsssl,,
docbook-style-xsl,,
docbook-utils,,
docbook2X,,
docbook5-style-xsl,,
docker-client-java,,
docker-compose,,
dogtail,,
dom4j,,
dos2unix,,
dosfstools,,
dotconf,,
double-conversion,,
dovecot,,
doxygen,,
dpkg,,
dracut,,
dropwatch,,
drpm,,
dtc,,
duktape,,
dump,,
dvdplusrw-tools,,
dwarves,,
dwz,,
e2fsprogs,,
easymock,,
ebtables,,
ecj,,
eclipse,,
eclipse-ecf,,
eclipse-emf,,
eclipse-jgit,,
eclipse-license,,
eclipse-m2e-workspace,,
eclipselink,,
eclipselink-persistence-api,,
ed,,
ed25519-java,,
edk2,,
efi-rpm-macros,,
efibootmgr,,
efivar,,
efl,,
egl-wayland,,
eglexternalplatform,,
ehcache-core,,
ehcache-parent,,
ehcache-sizeof-agent,,
eigen,,
elfutils,,
elinks,,
elixir,,
emacs,,
emacs-auctex,,
emma,,
enca,,
enchant,,
enchant2,,
enscript,,
entr,,
environment-modules,,
eog,,
epiphany,,
epstool,,
erlang,,
erlang-eflame,,
erlang-erlsyslog,,
erlang-erlydtl,,
erlang-getopt,,
erlang-gettext,,
erlang-hamcrest,,
erlang-lfe,,
erlang-meck,,
erlang-mustache,,
erlang-neotoma,,
erlang-proper,,
erlang-protobuffs,,
erlang-rebar,,
erlang-rpm-macros,,
erlang-sd_notify,,
esc,,
espeak-ng,,
etcd,,
ethtool,,
etmem,,
evince,,
evo-inflector,,
evolution-data-server,,
exec-maven-plugin,,
exempi,,
exiv2,,
expat,,
expect,,
extra-cmake-modules,,
extra166y,,
ezmorph,,
f2fs-tools,,
fabtests,,
fakechroot,,
fakeroot,,
farstream02,,
fasterxml-oss-parent,,
fastutil,,
fcgi,,
fcoe-utils,,
fdupes,,
felix-bundlerepository,,
felix-framework,,
felix-gogo-command,,
felix-gogo-parent,,
felix-gogo-runtime,,
felix-gogo-shell,,
felix-main,,
felix-osgi-compendium,,
felix-osgi-core,,
felix-osgi-foundation,,
felix-osgi-obr,,
felix-osgi-obr-resolver,,
felix-parent,,
felix-scr,,
felix-scr-annotations,,
felix-scr-generator,,
felix-shell,,
felix-utils,,
festival,,
festival-freebsoft-utils,,
fetchmail,,
ffmpeg,,
fftw,,
figlet,,
file,,
file-roller,,
filebench,,
filesystem,,
findbugs,,
findbugs-bcel,,
findutils,,
fio,,
fipscheck,,
firebird,,
firefox,,
firewalld,,
flac,,
flatpak,,
flex,,
flink,,
flite,,
fltk,,
fluidsynth,,
fmpp,,
fmt,,
folks,,
fontawesome-fonts,,
fontconfig,,
fontforge,,
fonts-rpm-macros,,
fonts-tweak-tool,,
foomatic,,
foomatic-db,,
fop,,
forbidden-apis,,
forge-parent,,
fpaste,,
fping,,
fprintd,,
freeglut,,
freeipmi,,
freemarker,,
freeradius,,
freerdp,,
freetds,,
freetype,,
freexl,,
frei0r-plugins,,
fribidi,,
fros,,
ftgl,,
ftp,,
fuse,,
fuse-python,,
fuse3,,
fusesource-pom,,
future,,
fwupd,,
fxload,,
galera,,
game-music-emu,,
ganglia,,
gavl,,
gawk,,
gazelle,,
gc,,
gcab,,
gcc,,
gcc-cross,,
gcc_secure,,
gcr,,
gd,,
gdb,,
gdbm,,
gdbus-codegen-glibmm,,
gdisk,,
gdk-pixbuf-xlib,,
gdk-pixbuf2,,
gdm,,
gegl04,,
genwqe-tools,,
geoclue2,,
geocode-glib,,
geolatte-geom,,
geos,,
geronimo-annotation,,
geronimo-commonj,,
geronimo-ejb,,
geronimo-interceptor,,
geronimo-jaspic-spec,,
geronimo-jaxrpc,,
geronimo-jcache,,
geronimo-jcdi-1.0-api,,
geronimo-jms,,
geronimo-jpa,,
geronimo-jta,,
geronimo-osgi-support,,
geronimo-parent-poms,,
geronimo-saaj,,
geronimo-validation,,
gettext,,
gfbgraph,,
gflags,,
gfs2-utils,,
ghostscript,,
gi-docgen,,
giflib,,
gimp,,
git,,
git-tools,,
gjs,,
gl-manpages,,
gl2ps,,
glade,,
glassfish-annotation-api,,
glassfish-dtd-parser,,
glassfish-ejb-api,,
glassfish-fastinfoset,,
glassfish-gmbal,,
glassfish-hk2,,
glassfish-jax-rs-api,,
glassfish-jaxb,,
glassfish-jaxb-api,,
glassfish-jaxrpc-api,,
glassfish-jsp,,
glassfish-jsp-api,,
glassfish-legal,,
glassfish-management-api,,
glassfish-master-pom,,
glassfish-pfl,,
glassfish-servlet-api,,
glassfish-toplink-essentials,,
glassfish-transaction-api,,
glassfish-websocket-api,,
glew,,
glib,,
glib-networking,,
glib2,,
glibc,,
glibmm24,,
glpk,,
glusterfs,,
gmavenplus-plugin,,
gmetric4j,,
gmetrics,,
gmime30,,
gmp,,
gnome-abrt,,
gnome-autoar,,
gnome-bluetooth,,
gnome-calculator,,
gnome-color-manager,,
gnome-common,,
gnome-control-center,,
gnome-desktop3,,
gnome-dictionary,,
gnome-doc-utils,,
gnome-font-viewer,,
gnome-getting-started-docs,,
gnome-icon-theme,,
gnome-keyring,,
gnome-menus,,
gnome-online-accounts,,
gnome-online-miners,,
gnome-packagekit,,
gnome-screenshot,,
gnome-session,,
gnome-settings-daemon,,
gnome-shell,,
gnome-themes-standard,,
gnome-user-docs,,
gnome-vfs2,,
gnome-video-effects,,
gnu-free-fonts,,
gnu-getopt,,
gnulib,,
gnupg2,,
gnuplot,,
gnutls,,
gobject-introspection,,
golang,,
gom,,
google-api-core,,
google-auth-httplib2,,
google-crosextra-carlito-fonts,,
google-droid-fonts,,
google-gson,,
google-guice,,
google-http-java-client,,
google-noto-cjk-fonts,,
google-noto-emoji-fonts,,
google-noto-fonts,,
google-oauth-java-client,,
google-roboto-slab-fonts,,
googleapis-common-protos,,
gpars,,
gperf,,
gperftools,,
gpgme,,
gphoto2,,
gpm,,
gradle,,
graphene,,
graphite2,,
graphviz,,
greatsql,,
grep,,
grilo,,
grilo-plugins,,
grizzly,,
grizzly-npn,,
groff,,
groovy,,
groovy18,,
grpc,,
grub2,,
grubby,,
gsbase,,
gsettings-desktop-schemas,,
gsl,,
gsm,,
gsound,,
gspell,,
gssdp,,
gssntlmssp,,
gssproxy,,
gstreamer1,,
gstreamer1-plugins-bad-free,,
gstreamer1-plugins-base,,
gstreamer1-plugins-good,,
gtest,,
gtk,,
gtk-doc,,
gtk-murrine-engine,,
gtk-vnc,,
gtk2,,
gtk3,,
gtk4,,
gtkmm24,,
gtkmm30,,
gtksourceview3,,
gtksourceview4,,
gtksourceview5,,
gtkspell3,,
gtkspellmm30,,
guava,,
guava20,,
gubbi-fonts,,
guile,,
gupnp,,
gupnp-av,,
gupnp-dlna,,
gupnp-igd,,
gutenprint,,
gv,,
gvfs,,
gyp,,
gzip,,
h2,,
hadoop,,
hadoop-3.1,,
hamcrest,,
haproxy,,
harfbuzz,,
haveged,,
hawtbuf,,
hawtdispatch,,
hawtjni,,
hdf5,,
hdparm,,
help2man,,
hessian,,
hexedit,,
hfsplus-tools,,
hibernate,,
hibernate-commons-annotations,,
hibernate-jpa-2.0-api,,
hibernate-jpa-2.1-api,,
hibernate-validator,,
hibernate3,,
hibernate4,,
hicolor-icon-theme,,
hiredis,,
hive,,
hivex,,
hostname,,
hping,,
hplip,,
hppc,,
hspell,,
hsqldb,,
hsqldb1,,
htop,,
htslib,,
http-builder,,
http-parser,,
http_load,,
httpcomponents-asyncclient,,
httpcomponents-client,,
httpcomponents-core,,
httpcomponents-project,,
httpd,,
httpunit,,
hunspell,,
hunspell-ak,,
hunspell-am,,
hunspell-ar,,
hunspell-as,,
hunspell-ast,,
hunspell-az,,
hunspell-be,,
hunspell-ber,,
hunspell-bg,,
hunspell-bn,,
hunspell-br,,
hunspell-ca,,
hunspell-cop,,
hunspell-csb,,
hunspell-cv,,
hunspell-cy,,
hunspell-da,,
hunspell-de,,
hunspell-dsb,,
hunspell-el,,
hunspell-en,,
hunspell-eo,,
hunspell-es,,
hunspell-et,,
hunspell-eu,,
hunspell-fa,,
hunspell-fj,,
hunspell-fo,,
hunspell-fr,,
hunspell-fur,,
hunspell-fy,,
hunspell-ga,,
hunspell-gd,,
hunspell-gl,,
hunspell-grc,,
hunspell-gu,,
hunspell-gv,,
hunspell-haw,,
hunspell-hil,,
hunspell-hr,,
hunspell-hsb,,
hunspell-ht,,
hunspell-hu,,
hunspell-hy,,
hunspell-ia,,
hunspell-id,,
hunspell-is,,
hunspell-it,,
hunspell-kk,,
hunspell-km,,
hunspell-kn,,
hunspell-ko,,
hunspell-ku,,
hunspell-ky,,
hunspell-la,,
hunspell-lb,,
hunspell-ln,,
hunspell-lt,,
hunspell-mai,,
hunspell-mg,,
hunspell-mi,,
hunspell-mk,,
hunspell-ml,,
hunspell-mn,,
hunspell-mos,,
hunspell-mr,,
hunspell-ms,,
hunspell-mt,,
hunspell-nds,,
hunspell-ne,,
hunspell-nl,,
hunspell-no,,
hunspell-nr,,
hunspell-nso,,
hunspell-ny,,
hunspell-oc,,
hunspell-om,,
hunspell-or,,
hunspell-pa,,
hunspell-pl,,
hunspell-pt,,
hunspell-qu,,
hunspell-ro,,
hunspell-ru,,
hunspell-rw,,
hunspell-sc,,
hunspell-se,,
hunspell-sk,,
hunspell-sl,,
hunspell-smj,,
hunspell-so,,
hunspell-sq,,
hunspell-sr,,
hunspell-ss,,
hunspell-st,,
hunspell-sv,,
hunspell-sw,,
hunspell-te,,
hunspell-tet,,
hunspell-th,,
hunspell-ti,,
hunspell-tl,,
hunspell-tn,,
hunspell-tpi,,
hunspell-ts,,
hunspell-uk,,
hunspell-ur,,
hunspell-uz,,
hunspell-ve,,
hunspell-vi,,
hunspell-wa,,
hunspell-xh,,
hunspell-yi,,
hunspell-zu,,
hwdata,,
hwinfo,,
hwloc,,
hyperscan,,
hyphen,,
hyphen-as,,
hyphen-bg,,
hyphen-bn,,
hyphen-ca,,
hyphen-cy,,
hyphen-da,,
hyphen-de,,
hyphen-el,,
hyphen-es,,
hyphen-eu,,
hyphen-fa,,
hyphen-fo,,
hyphen-fr,,
hyphen-ga,,
hyphen-gl,,
hyphen-gu,,
hyphen-hi,,
hyphen-hsb,,
hyphen-ia,,
hyphen-id,,
hyphen-is,,
hyphen-it,,
hyphen-kn,,
hyphen-ku,,
hyphen-lt,,
hyphen-ml,,
hyphen-mn,,
hyphen-mr,,
hyphen-nl,,
hyphen-or,,
hyphen-pa,,
hyphen-pl,,
hyphen-pt,,
hyphen-ro,,
hyphen-ru,,
hyphen-sa,,
hyphen-sk,,
hyphen-sl,,
hyphen-sv,,
hyphen-ta,,
hyphen-te,,
hyphen-tk,,
hyphen-uk,,
i2c-tools,,
i40e,,
iSulad,,
iSulad-img,,
iavf,,
ibus,,
ibus-hangul,,
ibus-libpinyin,,
ibus-libzhuyin,,
ibus-m17n,,
ibus-sayura,,
ibus-table,,
ibus-table-array30,,
ibus-table-chinese,,
ibus-typing-booster,,
icc-profiles-openicc,,
icedtea-web,,
icfg,,
icon-naming-utils,,
icoutils,,
icu,,
icu4j,,
idlj-maven-plugin,,
iftop,,
iio-sensor-proxy,,
ilmbase,,
ima-evm-utils,,
imake,,
indent,,
infinispan,,
inih,,
iniparser,,
initial-setup,,
initscripts,,
inst-source-utils,,
intltool,,
invokebinder,,
iotop,,
ipcalc,,
iperf3,,
ipmitool,,
iproute,,
iprutils,,
ipset,,
iptables,,
iptraf-ng,,
iptstate,,
iputils,,
ipvsadm,,
ipwatchd,,
ipxe,,
irclib,,
ironjacamar,,
irqbalance,,
irrlicht,,
irssi,,
isl,,
iso-codes,,
isomd5sum,,
isorelax,,
istack-commons,,
isula-transform,,
itstool,,
ivtv-firmware,,
iw,,
jFormatString,,
jack-audio-connection-kit,,
jackson,,
jackson-annotations,,
jackson-bom,,
jackson-core,,
jackson-databind,,
jackson-dataformat-xml,,
jackson-dataformats-binary,,
jackson-dataformats-text,,
jackson-datatype-joda,,
jackson-datatypes-collections,,
jackson-jaxrs-providers,,
jackson-modules-base,,
jackson-parent,,
jacoco,,
jacorb,,
jaf,,
jakarta-cdi,,
jakarta-commons-httpclient,,
jakarta-el,,
jakarta-interceptors,,
jakarta-mail,,
jakarta-oro,,
jakarta-server-pages,,
jakarta-servlet,,
jamonapi,,
jandex,,
jandex-maven-plugin,,
janino,,
jansi,,
jansi-native,,
jansson,,
jarjar,,
jasypt,,
jatl,,
java-atk-wrapper,,
java-base64,,
java-comment-preprocessor,,
java-libpst,,
java-oauth,,
java-service-wrapper,,
java-uuid-generator,,
java-xmlbuilder,,
java_cup,,
javacc,,
javacc-maven-plugin,,
javaewah,,
javamail,,
javapackages-tools,,
javaparser,,
javapoet,,
javassist,,
jaxb2-common-basics,,
jaxb2-maven-plugin,,
jaxen,,
jbig2dec,,
jbigkit,,
jboss-annotations-1.2-api,,
jboss-classfilewriter,,
jboss-connector-1.6-api,,
jboss-connector-1.7-api,,
jboss-dmr,,
jboss-ejb-3.1-api,,
jboss-ejb-3.2-api,,
jboss-el-2.2-api,,
jboss-el-3.0-api,,
jboss-integration,,
jboss-interceptors-1.1-api,,
jboss-interceptors-1.2-api,,
jboss-invocation,,
jboss-jacc-1.4-api,,
jboss-jacc-1.5-api,,
jboss-jaspi-1.0-api,,
jboss-jaspi-1.1-api,,
jboss-jaxrpc-1.1-api,,
jboss-jaxrs-2.0-api,,
jboss-jaxws-2.2-api,,
jboss-jms-1.1-api,,
jboss-jms-2.0-api,,
jboss-jsf-2.1-api,,
jboss-jsf-2.2-api,,
jboss-jsp-2.2-api,,
jboss-jsp-2.3-api,,
jboss-jstl-1.2-api,,
jboss-logging,,
jboss-logging-tools,,
jboss-logging-tools1,,
jboss-logmanager,,
jboss-marshalling,,
jboss-modules,,
jboss-msc,,
jboss-parent,,
jboss-remoting,,
jboss-remoting-jmx,,
jboss-rmi-1.0-api,,
jboss-sasl,,
jboss-servlet-2.5-api,,
jboss-servlet-3.0-api,,
jboss-servlet-3.1-api,,
jboss-specs-parent,,
jboss-stdio,,
jboss-threads,,
jboss-transaction-1.1-api,,
jboss-transaction-1.2-api,,
jboss-transaction-spi,,
jboss-vfs,,
jboss-websocket-1.0-api,,
jboss-websocket-1.1-api,,
jbossws-api,,
jbossws-parent,,
jcifs,,
jcip-annotations,,
jcodings,,
jcommon,,
jcsp,,
jctools,,
jdbi,,
jdeparser1,,
jdeparser2,,
jdepend,,
jdependency,,
jdiff,,
jdo-api,,
jdo2-api,,
jdom,,
jdom2,,
je,,
jedis,,
jemalloc,,
jeromq,,
jersey,,
jetbrains-annotations,,
jets3t,,
jettison,,
jetty,,
jetty-alpn-api,,
jetty-artifact-remote-resources,,
jetty-assembly-descriptors,,
jetty-build-support,,
jetty-distribution-remote-resources,,
jetty-parent,,
jetty-schemas,,
jetty-test-helper,,
jetty-test-policy,,
jetty-toolchain,,
jetty-version-maven-plugin,,
jexcelapi,,
jffi,,
jflex,,
jfreechart,,
jfsutils,,
jgit,,
jgroups,,
jhighlight,,
jibx,,
jimtcl,,
jitterentropy-library,,
jline,,
jline1,,
jmatio,,
jmh,,
jmock,,
jna,,
jnr-constants,,
jnr-enxio,,
jnr-ffi,,
jnr-netdb,,
jnr-posix,,
jnr-unixsocket,,
jnr-x86asm,,
joda-convert,,
joda-time,,
johnzon,,
jomolhari-fonts,,
joni,,
jopt-simple,,
jose,,
jq,,
jruby,,
js-excanvas,,
js-jquery,,
js-sizzle,,
jsch,,
jsch-agent-proxy,,
json-c,,
json-glib,,
json-lib,,
json-path,,
json-smart,,
json_simple,,
jsoncpp,,
jsonic,,
jsonp,,
jsoup,,
jspc,,
jsr-305,,
jsr-311,,
jss,,
jtidy,,
jtoaster,,
jts,,
jul-to-slf4j-stub,,
julietaula-montserrat-fonts,,
junit,,
junit-addons,,
junit5,,
junitperf,,
juniversalchardet,,
jupyter,,
jvnet-parent,,
jwnl,,
jython,,
jzlib,,
kabi-dw,,
kacst-fonts,,
kbd,,
kde-filesystem,,
kde-settings,,
kdump-anaconda-addon,,
keepalived,,
kexec-tools,,
keybinder3,,
keycloak-httpd-client-install,,
keyrings-filesystem,,
keyutils,,
kf5,,
khmeros-fonts,,
kim-api,,
kiwi,,
kmod,,
kmodtool,,
kohsuke-pom,,
kpatch,,
krb5,,
kronosnet,,
kryo,,
ksh,,
kubernetes,,
kurdit-unikurd-web-fonts,,
kxml,,
kyotocabinet,,
kyua,,
labltk,,
ladspa,,
lame,,
langtable,,
language-detector,,
lapack,,
lasso,,
latex2html,,
lato-fonts,,
lcms2,,
lcr,,
ldapjdk,,
ldaptive,,
ldns,,
lensfun,,
less,,
lettuce,,
leveldb,,
leveldb-java,,
leveldbjni,,
lftp,,
libEMF,,
libICE,,
libIDL,,
libSM,,
libX11,,
libXScrnSaver,,
libXau,,
libXaw,,
libXcomposite,,
libXcursor,,
libXdamage,,
libXdmcp,,
libXext,,
libXfixes,,
libXfont2,,
libXft,,
libXi,,
libXinerama,,
libXmu,,
libXp,,
libXpm,,
libXrandr,,
libXrender,,
libXres,,
libXt,,
libXtst,,
libXv,,
libXvMC,,
libXxf86dga,,
libXxf86vm,,
libabigail,,
libadwaita,,
libaec,,
libaesgm,,
libaio,,
libao,,
libappindicator,,
libappstream-glib,,
libarchive,,
libart_lgpl,,
libass,,
libassuan,,
libasyncns,,
libatasmart,,
libatomic_ops,,
libavc1394,,
libblockdev,,
libbluray,,
libbonobo,,
libbonoboui,,
libboundscheck,,
libbpf,,
libbs2b,,
libburn,,
libburn1,,
libbytesize,,
libcacard,,
libcanberra,,
libcap,,
libcap-ng,,
libcareplus,,
libcdio,,
libcdio-paranoia,,
libcgroup,,
libclc,,
libcomps,,
libconfig,,
libconfuse,,
libcue,,
libdaemon,,
libdap,,
libdatrie,,
libdazzle,,
libdb,,
libdbi,,
libdbusmenu,,
libdmapsharing,,
libdmx,,
libdnet,,
libdnf,,
libdrm,,
libdv,,
libdvdnav,,
libdvdread,,
libdwarf,,
libeasyfc,,
libecap,,
libedit,,
libell,,
libepoxy,,
liberation-fonts,,
libesmtp,,
libestr,,
libev,,
libevdev,,
libevent,,
libevhtp,,
libewf,,
libexif,,
libfabric,,
libfastjson,,
libffado,,
libffi,,
libfontenc,,
libfprint,,
libgcrypt,,
libgdata,,
libgdiplus,,
libgdither,,
libgdl,,
libgee,,
libgeotiff,,
libgexiv2,,
libgit2,,
libgit2-glib,,
libglade2,,
libglvnd,,
libgnome,,
libgnome-keyring,,
libgnomecanvas,,
libgnomekbd,,
libgnomeui,,
libgovirt,,
libgpg-error,,
libgphoto2,,
libgsf,,
libgta,,
libgtop2,,
libgudev,,
libguestfs,,
libgusb,,
libgweather,,
libgxim,,
libgxps,,
libhandy,,
libhangul,,
libhbaapi,,
libhbalinux,,
libhugetlbfs,,
libical,,
libid3tag,,
libidn,,
libidn2,,
libiec61883,,
libieee1284,,
libijs,,
libimagequant,,
libimobiledevice,,
libindicator,,
libinput,,
libiodbc,,
libiptcdata,,
libisal,,
libiscsi,,
libisoburn,,
libisofs,,
libjcat,,
libjpeg-turbo,,
libkcapi,,
libkeepalive,,
libksba,,
libldac,,
libldb,,
libldm,,
liblockfile,,
liblognorm,,
liblouis,,
libmad,,
libmatchbox,,
libmaxminddb,,
libmbim,,
libmediaart,,
libmemcached,,
libmetalink,,
libmicrohttpd,,
libmikmod,,
libmng,,
libmnl,,
libmodplug,,
libmodulemd,,
libmpc,,
libmpcdec,,
libmpeg2,,
libmspack,,
libmtp,,
libmusicbrainz5,,
libmypaint,,
libndp,,
libnet,,
libnetfilter_conntrack,,
libnetfilter_cthelper,,
libnetfilter_cttimeout,,
libnetfilter_queue,,
libnetwork,,
libnfnetlink,,
libnfs,,
libnftnl,,
libnice,,
libnl3,,
libnma,,
libnotify,,
libnsl2,,
liboauth,,
libogg,,
libomxil-bellagio,,
libopenraw,,
libosinfo,,
libotf,,
libpaper,,
libpcap,,
libpciaccess,,
libpeas,,
libpfm,,
libpinyin,,
libpipeline,,
libplist,,
libpng,,
libportal,,
libpq,,
libproxy,,
libpsl,,
libpwquality,,
libqb,,
libqmi,,
libquvi,,
libquvi-scripts,,
librabbitmq,,
libraqm,,
libraw1394,,
librdkafka,,
librelp,,
librepo,,
libreport,,
libreswan,,
librevenge,,
librsvg2,,
libsamplerate,,
libsass,,
libseccomp,,
libsecret,,
libselinux,,
libsemanage,,
libserf,,
libsexy,,
libshout,,
libsigcpp20,,
libsigsegv,,
libsmi,,
libsndfile,,
libsodium,,
libsolv,,
libsoup,,
libsoup3,,
libspatialite,,
libspectre,,
libspiro,,
libsrtp,,
libssh,,
libssh2,,
libstemmer,,
libstoragemgmt,,
libsvm,,
libtalloc,,
libtar,,
libtasn1,,
libtcnative,,
libtdb,,
libteam,,
libtevent,,
libthai,,
libtheora,,
libtiff,,
libtimezonemap,,
libtirpc,,
libtomcrypt,,
libtommath,,
libtool,,
libtpms,,
libtraceevent,,
libuninameslist,,
libunistring,,
libunwind,,
liburing,,
libusb,,
libusbmuxd,,
libusbx,,
libuser,,
libutempter,,
libuv,,
libva,,
libvdpau,,
libverto,,
libvirt,,
libvirt-glib,,
libvirt-python,,
libvisual,,
libvma,,
libvoikko,,
libvorbis,,
libvpx,,
libwacom,,
libwbxml,,
libwebp,,
libwebsockets,,
libwmf,,
libwnck,,
libwnck3,,
libwpd,,
libwpe,,
libwpg,,
libx86emu,,
libxcb,,
